Feature,Importance
lag_1,0.07446325878334567
ewm_mean_3,0.041129186757495745
ewm_mean_15,0.017816353648558266
rolling_mean_7,0.009285448645289213
ewm_mean_7,0.003223032318819029
month,0.0026563412278388016
rolling_mean_3,0.0018021908643791392
lag_2,0.0013354550661111146
lag_4,0.0008514000403370719
lag_5,0.0008327730095559423
lag_7,0.0008210600119378401
lag_11,0.0007162461920646254
lag_3,0.0006617098193145535
lag_12,0.0005985227424530497
lag_10,0.000499930360620498
lag_6,0.000477584382437293
lag_9,0.00044635896654012067
lag_13,0.00040995638273938256
ewm_std_15,0.0004034444394655658
lag_8,0.0003906636327460089
rolling_std_15,0.0003705931021460616
diff,0.00030783039051691913
rolling_std_3,0.00026597573847144285
lag_15,0.0002580825315344832
rolling_std_7,0.00024995173948845766
ewm_std_7,0.00024358674817022102
lag_14,0.00022236123273712693
day,0.00020978026842757041
ewm_std_3,0.00020423879426251072
rolling_mean_15,0.00015444322397993384
year,0.00010148574208103961
day_of_week,8.710712321058569e-05
quarter,4.796440250898857e-05
